url,local_chef,premium,latitude,longitude,menu_provider,name,has_delivery,review_0,review_1,review_count,rating,award_type,parent_geo,cuisines,establishment_types,neighborhoods,servicios_extra,estacionamiento,wifi,ambiente,juegos,familias,celiacos,veganos,horario_atencion,alcohol,resenas,rango_precio,reuniones_laborales,musica,accesible_silla_ruedas,WR
/Restaurant_Review-g312741-d26322909-Reviews-Criolla_Cooking_Wine-Buenos_Aires_Capital_Federal_District.html,False,False,-34.590515,-58.429607,False,Criolla Cooking & Wine,,"Amazing, highly recommend this experience!!!!",Cooking with Johnathon,206,5.0,,Buenos Aires,"['Grill', 'Argentinean']",['Restaurants'],[],Ninguno,No,No,Romántico,No,No,No,No,12:00 - 22:00,No,309,Bajo,No,Sí,Sí,4.953284323632327
/Restaurant_Review-g312741-d15325004-Reviews-Fogon_Asado-Buenos_Aires_Capital_Federal_District.html,False,True,-34.58853,-58.4336,False,Fogón Asado,,I took my wife and two grown up children for dinner at Fogon Asado on the last...,A great evening.,1788,5.0,BOTB,Buenos Aires,"['Steakhouse', 'Barbecue', 'Grill', 'Argentinean']",['Restaurants'],"['Palermo', 'Palermo Soho']","Eventos privados, Catering",Sí,Gratis,Elegante,No,No,No,No,12:00 - 22:00,Sí,2682,Alto,Sí,Sí,Sí,4.994502505458127
/Restaurant_Review-g312741-d8696562-Reviews-Argentine_Experience-Buenos_Aires_Capital_Federal_District.html,False,True,-34.580692,-58.432507,False,Argentine Experience,,"We found the Argentine Experience to be exactly that, the Argentine experience...",The ￹steak￻ was beyond delicious and the...,3063,5.0,COE,Buenos Aires,"['Steakhouse', 'Grill']",['Restaurants'],"['Palermo', 'Palermo Hollywood']","Eventos privados, Catering",Sí,Gratis,Elegante,No,No,No,No,12:00 - 22:00,No,4594,Alto,Sí,Sí,Sí,4.996787155243291
/Restaurant_Review-g312741-d25279370-Reviews-Frenessi_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,False,False,-34.62038,-58.361164,False,Frenessí Buenos Aires,,Experiencia Inmersiva Excelente,Amazing place great service,127,5.0,,Buenos Aires,"['Bar', 'International', 'Deli', 'Contemporary']",['Restaurants'],[],Ninguno,No,No,Casual,No,No,No,No,12:00 - 22:00,Sí,190,Bajo,No,Sí,Sí,4.925325699139554
/Restaurant_Review-g312741-d25198242-Reviews-Italpast-Buenos_Aires_Capital_Federal_District.html,False,False,-34.614132,-58.362125,False,Italpast,,My husband had the cantelonni stuffed with ￹lamb￻.,Great food and ￹nice￻ food place,808,5.0,,Buenos Aires,"['Italian', 'French', 'European', 'Sardinian']",['Restaurants'],[],Ninguno,No,No,Acogedor,No,No,No,No,12:00 - 22:00,No,1212,Bajo,No,Sí,Sí,4.987875759269891
/Restaurant_Review-g312741-d929310-Reviews-Michelangelo_Legend-Buenos_Aires_Capital_Federal_District.html,False,False,-34.612846,-58.370766,False,Michelangelo Legend,,Outstanding food and service!,Awesome,243,5.0,COE,Buenos Aires,"['Latin', 'Argentinean']",['Restaurants'],"['Montserrat', 'El Centro (Downtown)']",Ninguno,No,No,Casual,No,No,No,No,12:00 - 22:00,No,364,Bajo,No,No,Sí,4.960254001154924
/Restaurant_Review-g312741-d814198-Reviews-El_Mercado-Buenos_Aires_Capital_Federal_District.html,False,False,-34.613525,-58.36178,False,El Mercado,,... the gnocchi and carbonara for ￹pasta￻ then we had the night special rib eye...,"Aged ￹beef￻ in Argentina, who knew?",3214,4.5,,Buenos Aires,['Argentinean'],['Restaurants'],['Puerto Madero'],Ninguno,No,No,Familiar,No,No,No,No,12:00 - 22:00,No,4821,Bajo,No,Sí,Sí,4.497714505214794
/Restaurant_Review-g312741-d19101236-Reviews-Hierro_Parrilla_San_Telmo-Buenos_Aires_Capital_Federal_District.html,False,True,-34.61914,-58.372486,False,Hierro Parrilla San Telmo,,"... classic choripan, empanada and their incredible ￹French fries￻ to share.",We ate a Rib Eye and a Choripan (Chorizo...,1342,5.0,BOTB,Buenos Aires,"['Steakhouse', 'Barbecue', 'Grill', 'Argentinean']",['Restaurants'],"['San Telmo', 'El Centro (Downtown)']","Eventos privados, Catering",Sí,Gratis,Familiar,No,No,No,No,12:00 - 22:00,Sí,2013,Alto,No,Sí,Sí,4.992682251140624
/Restaurant_Review-g312741-d1926010-Reviews-Cucina_D_Onore-Buenos_Aires_Capital_Federal_District.html,False,False,-34.61925,-58.36483,False,Cucina D'Onore,,My wife and I enjoyed a delicious dinner at Cucina D’Onore the evening before...,An amazing experience,2897,4.5,COE,Buenos Aires,"['Italian', 'Mediterranean', 'European', 'Argentinean']",['Restaurants'],['Puerto Madero'],Ninguno,No,No,Elegante,No,No,No,No,12:00 - 22:00,No,4345,Bajo,Sí,Sí,Sí,4.4974648491683045
/Restaurant_Review-g312741-d25170609-Reviews-Hierro_Palermo_Parrilla-Buenos_Aires_Capital_Federal_District.html,False,True,-34.582703,-58.43488,False,Hierro Palermo Parrilla,,Great ￹steak￻ - far better than Don Julio,Amazing ,1009,5.0,,Buenos Aires,"['Steakhouse', 'Barbecue', 'Grill', 'Argentinean']",['Restaurants'],[],"Eventos privados, Catering",Sí,Gratis,Moderno,No,No,No,No,12:00 - 22:00,Sí,1513,Alto,Sí,No,No,4.990279085095089
